language,text,length_processed_text,type
en,I signed in for the first time and finished my initial setup After that i clicked Continue and the app doesnt open I see a blank screen with the wait thing turning how do I cancel my registration,38,Bug
en,I am enjoying Duolingo learn a language I have started on Italian and while I can match the words I find the sentences difficult I need to learn some verbs and also pronouns and how to conjugate them,38,User Ex
en,It lets me see the topics but I cant see the classwork my teacher has in each topic I can see it on the website but I didnt download this app to have to use the website  please fix,39,Bug
en,The app has been super good not untill i updated it and now i cant view any messages sent  Meaning i cant folloe ul my childrens progress and cant get to know what the teachers have comunicated so frastrating,39,Bug
en,I love using ABC mouse however the app is so slow and glitches so much we cant hardly use it I am lucky if we can get it to open at all Shame to pay for something that doesnt work,40,Bug
en,Bad simply it was better now ruined After downloading it keeps telling me upgrade it welli just did whenwill it work  I used to use it for the last two years but this time really bad hope you fix this,40,Bug
en,Great for learning better for practice Would definitely recommend purchasing other means of learning to use along with this I use it for Japanese and while it is going well they do kind of gloss over the katakana characters quickly,40,User Ex
en,Quite bad I used this app for 3 years paid for membership for at least the past six months xp gained from lessons often does not work and a 200 day streak was lost I would like a refund for the subscription,42,Bug
en,Easy to use and a good way to refresh language classes from high school and college Wish there were more options to test up like completing a certain number of lessons with 100 accuracy or completing correctly in a certain time limit,42,Feature
en,Damn it Burn doulingo burn I got a notification from Duo a new message in club Im going to the club and what I see I havent club anymore I wrote the clubcode but its full Ahaha nice experience Thank you Duo,42,User Ex
en,I am currently learning Russian on Duolingo Russian is a very difficult language and I find that duolingo makes easy and fun to learn I want to learn many different languages and I am planning to use duolingo for all of them ,42,User Ex
en,really thinking of cancelling our subscription we have tried downloading the app on 3 devices and it wont work it will work on our computer but our 4 yr old doesnt work the computer as well as a phone or tablet PLEASE FIX,43,Bug
en,im a Plus subscriber and since the most recent update offline has stopped all audio playback and even freezes mid lessons if connection is lost if not resolved soon ill be seeking a refund for my annual membership I just started last month,43,Bug
en,The free version of the app is so good to be honest you dont need the other pazzaz theyre trying to sell to you 4  cause good functionality just dont liked to be asked at almost every press whether I want to upgrade,43,User Ex
en,I love this app because it helps remind me of important due dates and times that things need to be completed I also get the opportunity to speak to my childs teacher directly through the app which makes it super convient for me,43,User Ex
en,Good app for my little ones but in the last week it kicks them out after it loads whether its on my phones kids mode or normal mode Toddler is not happy she cant play on it Even after the update For galaxy s5,44,Bug
en,Great study guide to use when youre on the go I was able to utilize this app while traveling back home If you want to study during your commute or without the encumbrance of a laptop use this app on your tablet or phone,44,User Ex
en,Terrible It makes you download another app that moniters your phone and send reports to your domain administrator Invasion of privacy It also wanted me to make a Work profile The website however is amazing I would recommend using the website rather than the app,45,Bug
en,Its horrible to pay for something that keeps freezing At the most it will give my child 15 minutes of learning time before it freezes I have to keep restarting the app and its not my phone for internet service because other apps do not do this,47,Bug
en,This is unreliable in turning in submissions I attached a file from google drive and successfully turned it in a few weeks ago for a major project only to find out that it wasnt submitted at all and was just waiting to be turned in Hate it,47,Bug
en,its been interesting so far it does seem to flow organically in a sense Old words popping up as you learn new ones to help you retain Only been using it for a few days but I have hope Better than the other language learning sites Ive used,48,User Ex
en,I thought it was my phone But after reading the other reviews I know its the app might daughter hasnt even been able to start the lessons It never loads Ive restarted my device three times already Please fix this Free apps at least let her start the lessons,49,Bug
en,most of my mistakes stem from Androids needed textcompletion that i like to select occationally  but when I type is  including space the 2nd textchoice ist  is substituted against my intention Please ask Android 81 to change typed text only by my active selection and not by typing Space ,49,Feature
en,I like the app itself but in all honesty the website works better Every time I try and send a message to a parent that I select from people section of the app it always goes to the wrong person Theyre wires are crossed they need to really fix this,50,Bug
en,I thought this would be great for my grandson who is 3 and he was enjoying it when it worked but it freezes  wont go to the games he wants and is overall a complete waste of money and disappointment now We are going to discontinue service and look for something different,52,Bug
en,Terrible It locked me out of my account and will not let me back on for anything It says to ask for my administrator I dont have time to be wasted on how to figure this problem out I have to much homework and now I am s behind in my schoolwork      ,52,Bug
en,we are having so many issues with the app I have had the subscription for years with no problem but lately my kids cannot even use it It keeps freezing up and locking them out This is happening across all our devices For a service I am paying for I am very disappointed,53,Bug
en,You cant fast forward Or go back  Please add a fast forward or sliding bar I love the app Just downloaded it a week ago And my alarm went off and now we have to watch the whole show from the beginning Please please add something Otherwise this could be a 5 star app,54,Feature
en,Fantastic way to become farmiliar with the language you want to learn and is easy and fun to use Given the fact that the app is free the amount of ads seems appropriate and the utilities are polished and sleek compared to apps that are similar Would definitely recommend this to any language learner,54,User Ex
en,The change in amount of characters allowed makes it difficult to explain homework especially when you are an ELA teacher and want to use proper English Adding an attachment shortens it more Ive used this app for several years with great success but the downgrade has lead me to a different app for next year,55,Bug
en,Were still in the free trial but will be cancelling if this app isnt fixed Activities take forever to load and it force closes constantly My daughter gets so frustrated because shes never able to finish anything I dont understand how so many people can have the same complaint but nothing is done about it,55,Bug
en,This app was great when we 1st installed but every since the new update it is horrible We have to restart our tablet every few minutes just to get anywhere on it Very sad that we are going to have to switch to a different teaching app since this taught my autistic son extremely well,55,Bug
en,It rules I only wish I could make my own flashcards without going premium but I have found the search feature works just fine to find sets of flashcards others have madw on the same subjects Im trying to study I love the learb option that takes the flashcards up to a whole new level,55,User Ex
en,Great app and free to use but gets better if you pay 12 a year Which is actually really cheap Also the games to play when yiu get bored actually help you study  tge same time plus it gives you test over what youve been studying for All around perfect for the average college student,55,User Ex
en,GLITCHES  LOTS Tap to resend NEVER works not once Youll write a message and it will never tell u its too long and it never ever sends it  itll just sit there in the way YOU CANNOT DELETE MSGS Ive used it for years because I HAVE to  my daughters school uses it But I hate it,57,Bug
en,Very great for learning new languages which is what it is meant for As long as you are patient and stay with your lessons consistently you will be able to learn a new language or brush up on a language you already know fairly easily 1010 would recommend for anyone that is interested in a new language,57,User Ex
en,I just want to say thank you for making this app it really helps me a lot Before i use this app i cant understand much how to do maths questions but now i dont even need to tuition to understand those question anymore Once again thank you very much for making this app youre a life saver ,58,User Ex
en,The app wont allow me to log in I contacted customer service to attempt to get the issue resolved and instead of fixing the problem I was told to use a computer instead Why have the app then Im completely frustrated with this app and my customer service experience and Id love a refund since this is now USELESS,59,Bug
en,I use it for Japanese its actually very useful the predictive flash card creation is helpful for making sets of cards organisation is better than other flash cards apps Ive used previously in combination with paper or another device to write on one of the best ways to learn vocabulary or other writing systems like the kanji in Japanese,59,User Ex
en,If it would work right I would like it but all we do is wait for things to load The songs dont play and everything takes so long my kids are over it Ive tried to cancel and was told Google play had to do it they wouldnt dont cancel it for you Dont download it its not worth it,60,Bug
en,The interface is way too crowded and confusing overwhelming for young children Even if you pay for a subscription you are not able to use the app unless you have internet connection Which sucks if you are trying to use this while not in your house Switched to Khan Academy Kids its free and has a much better interface for children,61,Bug
en,This app has potential to be 5 stars but unfortunately it gives no way to  pick specific episodes your child may want My 5 year old wants a specific  episode but when I go to the series it just starts playing an episode  with no list of episodes to choose from As that feature and Ill try out  the app again,61,Feature
en,Still no fix from Remind4 months When installed it crashes my Android system whenever I try to share something LG v30 Reminds help has been contacted but they havent done anything beyond the basic troubleshooting they havent even asked for further details or logs Update They responded to my previous comment without apparently reading it they told me to contact their help department,63,Bug
en,I just found out that they have been double billing me since January Apparently I had an old account that I did cancel on my end but they failed to update A few months later i decided to try again but cancelled again after it didnt meet my expectations And to make matters worse they refuse to refund me for the double billings,63,Bug
en,This app takes forever to load my daughter doesnt have the patience to wait 30 seconds between screens and frankly neither do I For a paid app its ridiculous I thought it was the device but have downloaded it on multiple devices with the same result each time Super disappointed since the commercials make it seem like such a great learning tool for kids,64,Bug
en,since the new update I cannot access my account I select that Im a parent then select that I already have an account I click my account icon and it boots me back to the main screen to set up and select the account needed This needs to be fixed as its the only effective way to communicate with my childs teachers within the same day,66,Bug
en,there is just one disadvantage when I add vocabulary to set I have to select a set for second word select another setagain select the first on or another If there is tag I could write my vocabulary in a temporary set with tagthe name of defined set and app strore the vocabulary in the related set automatically it would be useful when the user enter the vocabulary,68,Feature
en,Outstanding From basics to advanced learn at whatever speed and intensity you like Comprehensive Great variety of methods and help Structured and bitesized reading writing matching and speaking lessons with hints  tips how and why grammar pages graded story reading learner discussions rewards and so much more Regular updates Plus feedback to responsive innovative and knowledgeable language and technical developers Not so intrusive ads And Free Whats not to like,70,User Ex
en,This is a very fun and easy going way to pick up a language the ads are a bit pesky but im finding myself eager to study and immensely rewarded with the success ive had as of yet i cant say i trust my accent to be improving but i think in tandem with other forms of study this is a major improvement over the tedium of tapes textbooks and classes,71,User Ex
en,The app is great although its broken It wont work at all and if I try to update it doesnt fix the issue The app wont connect and The Play Store wont let me check for updates so I have to sequentially search and update my apps and I have a lot of beta apps which get daily updates This is dumb and a waste of time if it doesnt work other than that this app is great,78,Bug
en,The app is sp incredibly glitchy Its very laggy Sometimes it wont mark a  task as complete and other times i cant click on certain options that are  supposed to ne available in th classroom Just a moment ago while my child  was in the Pet section it was stuck on loop sayingfish food alphabet at  the same time as another audio explaining directions was playing Maybe the  website is worth paying for but the app surely is not,79,Bug
en,I need this app for school but it refuses to work I have work to do and this drives me up the wall Fix it and leave it dont add stupid stuff that causes it to crash and stop working It puts me in panic mode because I have to log on for my hw and Im greeted with a message that I cant log in It works on computers but I dont have constant access so it makes things difficult Not happy,83,Bug
en,The ONLY App that works without paying anything It completely Works Thanks team for making this app available for free Your app is revolutionary and it is a true student friendly app I dont know how you manage finances on maintaining this type of technology but I would really love to donate a small amount that I can Would be happy to see this option in near future Completely Satisfied Saved my precious time Infinite Thanks to you the entire team behind this app,84,Feature
en,Big bug experienced in case of receiving app notifications its just random ie very rarely do i actually get notified for a message on it and so me having to check Remind every now  then to make sure if I didnt miss any announcement in any of my classes Plus they dont have any feature for muting any class notifications that you dont need anymoreyear completed moved schools etc neither Its such a pain in the butt having to use something without any choice just because of bandwagon ,88,Bug
en,The program is great but the app is horrible They made it so complex and built it so poorly that its very difficult to navigate it loads terribly slowly and it often freezes or some aspects dont work There is no home button within activities so you have to go through possibly dozens of slowly loading pages to get to what you want Im considering getting a refund The app is free but the service is not and if the app doesnt work then the program is useless,88,Bug
en,Explain why I cant delete a message Cuase I have a lot of typos that are still huanting me if andd when i actuay use the app you guys have some majoir work to do on yor prodgect The sample textreview above is an example of a text I would send and never be able to edit again on Remind And my Administrators see this almost everytime I send himher something And its embarrassing So either you fix this or Im out of a job Signed Embarrassed Hardworker,88,Bug
en,great app so far and the achievements are something to look forward to while learning but it would be great if you could add more I gave 2 stars because the icon at the bottom where it takes you to profile section is a female character and I have a male character as my profile picture I am a male and it should change to a man icon dont you think its kind of stupid to be clicking a women icon and you have a man behind it loll catfishing,90,Feature
en,Im updating my review I had previously given this a five star rating but now Im revising it down Duolingo is ok if youre a beginner but if you have any background with the language the free version does not work well It forces you to practice the same basic vocabulary over and over and over again and if you want to test out and get to a higher level you have to upgrade to the paid version In addition the streak freeze feature does not work  can erase months of accumulated points,93,User Ex
en,It used to be great and a great way to help remind the students to behave but there are so many glitches in this new update it is unusable Points from the app dont always show up and when they finally do 4 or more show up at a time with the same time stamp There was always a weird glitch that I couldnt go to comments from the point screen Id have to go to class story or toolkit first The final straw was trying to reset the points and only getting a loading screen,96,Bug
en,One thing that bugs me the most is To download a file whether its a PDFWordPPT always I have to click every single one of them and open it either in my phonesor open a new window in the PC browsers WPSOffice software and then only I can save it or download it Why isnt there any options that you can just have a download button below or to the side and we can just tap or click on them to open up No joke Google Its too annoying Dont waste our times like that Change it,97,Bug
en,I really wanted to use this app for my phone When I first got it it told me to insert my email like usual and I did however it told me I need supervisor approval I continued to try this a couple times till eventually I just put in my regular account and thought to try to switch accounts from there It kept telling me the same thing supervisor approval so I stopped trying for a little bit I tried again the next day but this time it wouldnt even let me open up the switch accounts and still wont,100,Bug
en,Problem 1 is you have to do the lessons in order with very little flexibility if your kid doesnt feel like singing songs or poking different colors on the screen just now Theres no ability to skip from one lesson to another YOU WILL FOLLOW THE LEARNING PATH Pages take too long to load and often get hung up clocking At one point we couldnt progress past a particular exercise no matter what we did Thanks for the meltdown this caused Using the latest model Samsung phone and tablets I have buyers remorse and wish I hadnt spent the money for this,102,Bug
en,Its a good idea but the software is very glitchy on both the app and  website no matter what browser you are using I used this service for 2  years and when I paid to renew my account that said my account wasnt  active anymore Which was the reason why I was contacting them I paid for  a service that I wasnt able to use Instead of fixing the problem they  refunded my money Very poor customer service Plus the content is so  repetitive my son would lose interest There are way better programs and  services out there Dont waste your time with ABCmouse,104,Bug
en,I never got to use it because it never stopped crashing I wasted a 1 year membership thanks for taking my   giving me nothing abc mouse Dont get me wrong my son loved it at 1st He was excited played for hours he was collecting the tickets then it wouldnt let him continue He would go on to progress but the app would loadloadload hed be sitting for over half an hour waiting I didnt know he was waiting I thought he was playing My poor child literally fell asleep while waiting multiple times Theres no excuse so disappointed You think youre helping your child just to waste time  money He also played on multiple devices not just one so its not the device,124,Bug
en,DO NOT SIGN UP FOR A TRIAL ITS A SCAM It was understimulating for my  child I couldnt move past the level They dont list their customer  service number anywhere I had to get it from my bank They said they took  ir down because children would call which seems like a weak excuse to  make them unaccesable and continue to charge The app takes up too much  space and will in time it will malfunction I wound up paying 60 by June  in 2018 I threatened to file a claim with the fcc and they gave me 40  Ugh The EMAILS GOOD GOD So many emails Theres no shortage of programs  like this do not sign up for this one just because its on TV If you want  your child to excel take them to the library Read out loud Get a chalk  board Make learning fun,148,User Ex